user;id;Weak_Component
Santi_ABASCAL;1;YES
chollometro;2;
madrid_vox;3;YES
VOX_Europa_;4;YES
TurismoAND;5;YES
psoe_m;6;YES
Ortega_Smith;7;YES
radiocable;8;YES
JLozanoA;9;
vox_es;10;YES
olgarodriguezfr;11;YES
SRE_mx;12;
pedroferriz3;13;
Macarena_Olona;14;YES
Kalindakano;15;
Jorgebuxade;16;YES
HectorTrejo;17;
hermanntertsch;18;YES
ivanedlm;19;YES
Cs_Andalucia;20;YES
QuimMonzo;21;YES
fjosealcaraz;22;YES
MGutierrezCs;23;YES
EmilioLarrosa;24;YES
CiudadanosCs;25;YES
RaholaOficial;26;
Tonicanto1;27;YES
Cs_Madrid;28;YES
CiutadansCs;29;YES
DanFilm;30;
DanielaBlume;31;
CARLOSFMEJIA;32;
MAU_MANCERA;33;
Lroldansu;34;YES
martinezmau;35;
petrogustavo;36;
Apixelados;37;YES
laishawilkins;38;
ColombiaHumana_;39;
vwinstonv;40;
madresfera;41;
ocram;42;
VOX_Congreso;43;YES
Desahogada;44;YES
bbimbi;45;YES
SimancasRafael;46;YES
AntonioSanguino;47;
elisabeni;48;YES
AlvarezMaynez;49;
JTrianaT;50;
jmdelalamo;51;YES
carlosbardem;52;YES
AgustinRosety;53;YES
fredhermel;54;YES
pablojoselima;55;
beatrizbecerrab;56;YES
CristinaNarbona;57;YES
pgaguado;58;YES
JRBauza;59;YES
PODEMOS;60;YES
mariadelamiel;61;YES
psoedeandalucia;62;YES
REMMYVALENZUELA;63;
PSOE;64;YES
desdelamoncloa;65;YES
franciscopolo;66;YES
EspanaGlobal;67;YES
patxilopez;68;YES
miqueliceta;69;YES
carmencalvo_;70;YES
BYCRAFTXXYT;71;YES
ldpsincomplejos;72;YES
M_Presidencia;73;YES
alfredourdaci;74;YES
Fyahbwoy;75;
CristinaSegui_;76;YES
MinTrabajoAR;77;
Sabbatella;78;
produccion_arg;79;
RamsesVidente;80;
Igarrigavaz;81;YES
Hugo_Gutierrez_;82;
SorayaArnelas;83;
FrayJosepho;84;YES
MoniMacha;85;
PCdeChile;86;
Makoke_;87;
GPPopular;88;YES
agarzon;89;YES
juanmalpr;90;YES
_PabloFdez_;91;YES
PaulaVazquezTV;92;YES
ramontremosa;93;
pablocasado_;94;YES
chrisviteri;95;
mcarvajal28;96;
anatijoux;97;
fdbedout;98;
contracultural;99;
Ethic_;100;
RobinsonDiazU;101;
Miquel_R;102;YES
AmarnaMiller;103;YES
democraciareal;104;YES
paulagonu;105;YES
VillaFernando_;106;
Toto_Vega;107;
MONYRODRIGUEZOF;108;
PabloIglesias;109;YES
MauricioJaramil;110;YES
MuyLiberal;111;YES
sylkeka;112;YES
dlacalle;113;YES
RubenSanchezTW;114;YES
elnocturno;115;
InesArrimadas;116;YES
suecallejas;117;
davidenguita;118;YES
clubdeviernes;119;YES
carloscuestaEM;120;YES
MonederoJC;121;
SenadoGovCo;122;
pabelml;123;
boye_g;124;
MashiRafael;125;
elcocinerofiel;126;
CarlaAntonelli;127;YES
populares;128;YES
ReneRamos;129;YES
ehbildu;130;
oscar_puente_;131;YES
ronaldcordova;132;
valentinaacosta;133;
blancoduran;134;
jesuscasique1;135;
GustavoBolivar;136;
equinteroVV;137;
focusings;138;YES
socialistes_cat;139;YES
rosadiezglez;140;YES
gpscongreso;141;YES
demiguelch;142;YES
revistamongolia;143;YES
JorgeGlas;144;
OskarMatute;145;YES
GabrielaEsPais;146;
partidolibertad;147;YES
MariscalZabala;148;YES
jespinosa24;149;YES
ivanferreiro;150;YES
podem_cat;151;YES
sanchezdelreal;152;YES
edithfebles;153;YES
AlbanoDante76;154;
GUENGL;155;YES
oierfano;156;YES
NadiaCalvino;157;YES
malaga;158;YES
Teresaribera;159;YES
dsn;160;YES
educaciongob;161;YES
_minecogob;162;YES
mapagob;163;YES
cantabriaes;164;YES
JoseantonioJun;165;YES
sanchezcastejon;166;YES
parosemena;167;
JERobledo;168;
LoreBeltran;169;
AranchaGlezLaya;170;YES
iescolar;171;YES
Locarconio;172;
manuelburque;173;YES
sindolafuente;174;YES
AnabelAlonso_of;175;
pnique;176;YES
VSocialGob;177;YES
PilarGGranja;178;YES
martuniki;179;YES
ionebelarra;180;YES
FelipeCalderon;181;
DcaValle;182;YES
RonyVargasV;183;
AMOTTAPTY;184;
bobbyalbarran;185;
ComGobiernoMx;186;
epigmenioibarra;187;
CitlaHM;188;
iunida;189;YES
IgnatiusFarray;190;YES
revistaetcetera;191;
yolandacmorin;192;
anapastorjulian;193;YES
AntonioMaestre;194;YES
Rafa_Hernando;195;YES
quiquepeinado;196;YES
allizesalgado;197;
JUANCAELBROKY;198;
gorkaotxoa;199;YES
juralde;200;
Caninator;201;
Adrilastra;202;YES
LupitaJuarezH;203;
anonopshispano;204;YES
el_pais;205;YES
JCXuancar;206;YES
AbiPower;207;YES
hugomabarca;208;YES
arrola;209;YES
borjateran;210;
ClaudioXGG;211;
julia_otero;212;YES
anaisbernal;213;YES
earcos;214;YES
stgomontoya;215;
martaflich;216;YES
edugalan;217;YES
LeoAriasPrensa;218;
ZaidaCantera;219;YES
el_pais_madrid;220;YES
MattyLL;221;
ganyet;222;
GirautaOficial;223;
salvadorilla;224;YES
CsCongreso;225;YES
FranHervias;226;YES
FernandezAnibal;227;YES
ComunidadMadrid;228;YES
ppmadrid;229;YES
jusapol;230;YES
alferdez;231;
javisalas;232;
TeoGarciaEgea;233;YES
luisramiromusic;234;YES
Nopanaden;235;YES
gpssenado;236;YES
antoniorossi;237;YES
DGobiernoMadrid;238;YES
mitecogob;239;YES
estarc62;240;
tonyloarces;241;YES
carlosblanco;242;YES
NSanabria7;243;
elblog;244;
lugaricano;245;YES
martasolano_;246;YES
Equo;247;YES
LaFallaras;248;YES
ClubRACC;249;YES
pedro_fhz;250;YES
aberron;251;YES
sanidadgob;252;YES
proteccioncivil;253;YES
kurioso;254;YES
Declaracion;255;YES
moillorens;256;
zaharapop;257;YES
camila_vallejo;258;
Luis_Endera;259;YES
ElenaValenciano;260;YES
SofCastanon;261;YES
VeraNoelia;262;YES
ferbelaunzaran;263;
abalosmeco;264;YES
AnaLiliaHerrera;265;
fargosi;266;
marianabenitezt;267;
heber_noti121ed;268;
maxpradera;269;YES
facua;270;YES
BeatrizTalegon;271;YES
marbellati;272;
SandraGolpeA3TV;273;
JoseRamonHerdez;274;
fsaintout;275;
aguilarcamin;276;
GiorgioJackson;277;
MARLENE_STAHL;278;
diegodelacruz;279;
javierpadillab;280;YES
MasPais_Es;281;YES
ierrejon;282;YES
PodemosCMadrid;283;
carlosdelamota;284;
CelaaIsabel;285;YES
AgriculturaEc;286;
MinTrabajoEc;287;
TeresaRodr_;288;YES
Rita_Maestre;289;YES
RoEnLaRed;290;
Caidadelatorre;291;
AdrianaLucia;292;
Economia_Ar;293;
FrenteDeTodos;294;
fvallejoss;295;
JuanMarin_Cs;296;YES
_elan_;297;
JOSEMANUELSOTO1;298;YES
ikaitor;299;YES
eledhmel;300;YES
ChinaEmbEsp;301;
DELAESPRIELLAE;302;
abc_es;303;YES
RockStroke;304;
atilioboron;305;
CesarCalderon;306;
AleJacintoUrang;307;
eldiarioes;308;YES
ArielAnaliza;309;
YuririaSierra;310;
JosPastr;311;YES
lorenzoamor_ata;312;YES
monasterioR;313;YES
Alvisepf;314;YES
CoronaVid19;315;
jaimeberenguer;316;YES
CasaRosada;317;
PhilAMellows;318;YES
HispaniaFortius;319;YES
daniel_nunez_a;320;
CasoAislado_Es;321;YES
rubnpulido;322;YES
voxnoticias_es;323;YES
autonomosata;324;
gonnassau;325;YES
CSaizar;326;
AmargaProgres;327;
cayetanaAT;328;YES
IreneMontero;329;YES
joseluisescriva;330;YES
XSalaimartin;331;
IdiazAyuso;332;YES
JacoboG_Ecu;333;
SaludPublicaEs;334;YES
JuanitaGoe;335;
andres20ad;336;
guillier;337;
ElSrDerecha;338;YES
AnaCallolGarcia;339;
empleo_SEPE;340;YES
custerdeohaio;341;YES
VICTORI43762463;342;
nayibbukele;343;
bea_fanjul;344;YES
Sentid2016Comun;345;
policia;346;YES
Aglezterol;347;YES
Sandinin;348;
JonInarritu;349;
leirediezpas;350;YES
Vidushi_ii;351;
okdiario;352;YES
anaguantes;353;YES
crpandemonium;354;YES
AnderssonBoscan;355;
valeriasantosb;356;
BeatrizGMuller;357;
luisabinader;358;
WladimirIzaE;359;
antonlosada;360;YES
elmundoes;361;YES
juanrallo;362;YES
alonso_dm;363;YES
fausthe1;364;
borjajimenezd;365;YES
JoaquimBoschGra;366;YES
cultrun;367;YES
GuajeSalvaje;368;YES
legidoquigley;369;
RosaCuervasMons;370;YES
glynch3;371;
lauradel770;372;YES
ColegioMedicoCB;373;
JoseGuarnizoA;374;
raquelarbe;375;
jcamposasensi;376;YES
GeorgeTheJam;377;
vanegascortazar;378;
jlsteeg;379;YES
equipoGabilondo;380;YES
MeerRocio;381;YES
MaxKaiser75;382;
josecdiez;383;YES
AnaBejaranoRG;384;
MayoralRafa;385;YES
CopaAirlines;386;
JesusRCuevas;387;
carlossmato;388;YES
Arouet_V;389;
enriquefmiranda;390;
Guyb;391;YES
JulianFMartinez;392;
Nuri_Rubio;393;YES
Politica_Again;394;YES
davidmejiaNY;395;YES
tableroglobal;396;
jenarovillamil;397;
georgina_vox;398;YES
sampedro_damian;399;YES
MXvsCORRUPCION;400;
diasasaigonados;401;YES
Fgarea;402;YES
fos_qi;403;
pedroblancoa;404;YES
eljueves;405;YES
RLavagna;406;
estherpalomera;407;YES
Monica_Garcia_G;408;YES
hernan_sr;409;
UnSrdeBarcelona;410;
CarinaMejias;411;
PauCambroneroCs;412;YES
SantiCafiero;413;
BarriPdmx;414;
EmilioDelgadoOr;415;YES
minisashas;416;YES
PilarHLuc;417;YES
Ander_Gil;418;YES
SergioSarmiento;419;
almudenanegro;420;YES
JaimeVelasco01;421;YES
JuanfraEscudero;422;YES
GarciaAller;423;YES
alesanper;424;YES
hurgamemoriaPE;425;
gerardotc;426;
Alberbel;427;YES
marcelaguinaga;428;
bsemper;429;YES
ymouled;430;YES
manuelrico;431;YES
rosamariaartal;432;YES
amparocasar;433;
rlopezmurphy;434;
pradobenjamin;435;YES
Juli_Strada;436;
JesusCintora;437;YES
Nacho_Abad;438;
beltrandelrio;439;
gabrielboric;440;
elconfidencial;441;
carlossegovia_;442;YES
Carolalon1;443;
RaulitoGrisanty;444;
JaimePalomera;445;YES
caanmichelena;446;
JaumeMayor;447;YES
bioemprenderES;448;
CientificoenEsp;449;
isaserras;450;YES
itamaria83;451;
TvPlataforma;452;YES
Martin_M_Guzman;453;
luisacarcedo;454;YES
